,sentence,extract
0,"Cr is repelled strongly yielding a Cr enriched layer, which in turn stabilizes the βo-phase in the close vicinity of σ-phase particles.",0
1,"This result suggests that the local chemical bonding around them is rather strong, and that these solute atoms have a strong interaction with the 9R phase structure.",0
2,"However, a high fraction of δ′ phase is not favorable for the alloy design as δ′ phase can be subject to shear and this may deteriorate the toughness and ductility",1
3,Low melting point T- and S-phases affect hot workability and fracture properties.,1
4,"The so-called Weldalite series of Al–Cu–Li–Mg–Ag–Zr alloys, e.g. AA2195, strengthened primarily by a uniform distribution of T1 plates of large aspect ratio, are capable of a tensile yield strength exceeding 700 MPa.",1
5,The T1 phase is known to provide the highest strength; it forms as semi coherent platelets along the {111}Al planes and exhibits a hexagonal structure.,1
6,"In alloys with more than 3 to 4 wt% Mg, there is a tendency for the β phase (Mg5Al8) to precipitate at the grain boundaries, making the alloy susceptible to grain-boundary attack.",1
7,Age hardening at 160 C was performed in an Al–6.0 wt.%Zn–2.3 wt.%Mg1.8 wt.%Cu0.1 wt.%Zr alloy. It was found that metastable η′ phases played a very important role in controlling this behaviour.,0
8,"Among them, β-Al5FeSi usually appears as highly faceted platelets up to several millimetres and it therefore causes the most serious loss of strength and ductility in the castings.",1
9,"The size of σ phase is in the range of 180-600 nm in as-cast alloy, which is much larger than 25 nm in aged state as reported [40], and the coarse σ phase gives weak infinitesimal contribution to strengthening.",1
10,The σ phase has cubic structure (Pm3) with the lattice constants of a = b = 0.831 nm.,0
11,"The results showed that the as-extruded Mg-1Al-xY (x = 3, 5, 8) alloys were composed of α-Mg phase and Al2Y phase and the microstructures were main dynamic recrystallization.",0
12,"However, in Al few precipitates were accumulated along the grain boundaries of α phase whereas the typical intragranular twin bands and dendrite structure was evident in the case of Zn anode.",0
13,"As visible in Figures 2(a) through (c), the long as-cast phases, which are located at the very surface, are breaking down into separate shorter phases and are partly dissolved (Figure 2(c)).",0
14,"The as-cast alloys show a dendritic structure consists of α-Mg and (Mg, Al)2Ca phases.",0
15,AZ31-0.05Ca contained some Mg-Al-Ca phase particles while AZ31-0.1Ca and AZ31-0.2Ca contained many dispersed fine Al2Ca phase particles.,0
16,(a) dimple morphology of failure; (b) plastic deformation of α phase.,0
17,"For ω=600rpm, the nugget evolves from a concave to a convex shape and its size increases during the dwell phase.",0
18,"Therefore, the hardness decrease was offset by the precipitation of the η' phase, and, thus, the hardness curve rises again until over-aging occurs, where the transition from the η' phase to η phase occurs.",1
19,"In most cases, these intermetallic phases are detrimental to mechanical properties and corrosion resistance of cast NAB alloys: The coarse Widmanstatten α-phase grains would significantly decrease the yield strength [7]; the retained island β'-phase would accelerate the fatigue crack growth [8]; and the eutectoid α + κIII structure would induce selective phase corrosion [9].",1
20,"One of the best examples is the alumina-PTFE system's paradoxical wear rate dependence on alumina size and phase: the addition of 0.2-5% nanoscale (40-80 nm) α-phase or microscale (40 μm) γ-phase Al2O3 particles effectively reduce PTFE wear rate by 99.99% [23, 34], whereas microscale (> 0.5 μm) α-Al2O3 or nanoscale (40-80 nm) γ-Al2O3 only reduce wear by ~ 90% under identical loading, dispersion and testing conditions [24, 34, 39].",1
21,"As the creep time increases, micro-voids begin to grow and coalesce into macro-defects, while the effective bearing area is too small to support the load and eventually the material rupture occurs.",0
22,Ultrafine-grained microstructures and uniformly distributed reinforcements were achieved.,0
23,CrossrefCASWeb of Science(r)Google Scholar10G.,0
24,"This finding indicated that the appropriate concentration of nanoparticles could improve the tribological properties of nanofluids, but the excessively high concentration of nanoparticles did not help improve the friction properties.",1
25,"The transition from 3 to 6 mm min-1 was accompanied by the decrease of primary Al2Cu phase and the increase of eutectic structure, while the transition from 6 to 9 mm min-1 and 9 to 15 mm min-1 were accompanied by the decrease of eutectic structure and the increase of primary Al2Cu phase.",0
26,"Owing to gavannealing especially higher 480degC, total elongation (TE) as well as uniform elongation (UE) decreases significantly for the Si-concept.",0
27,"Moreover, no rumpling, no TCP phases and no SRZ were observed whatever the composition of the Pt-rich γ-γ' coatings.",0
28,"Moreover, when the stretching temperature rises, the Mg17Al12 phase softens and cannot strengthen the grain boundaries.",1
29,The hardness of the MMCs increases with the volume fraction of particulates in the alloy matrix due to the increasing ceramic phase of the matrix alloy.,0
